产品名称,产品ID,芯片系列,产品系列,图形芯片,核心工艺,CUDA核心,基础频率,一键OC核心频率,显存频率,显存容量,显存类型,显存位宽,总线标准,3D API,显示接口,外接供电,TDP功耗,图片列表,NVIDIA SLI,数字最大分辨率,多显示器,呼吸灯,风扇调速,风扇智能启停,VGA最大分辨率,水冷头
Colorful GeForce GTX1050 GAMING 2G V5,1542,GeForce® GTX 1050,Colorful系列,GeForce GTX 1050,14,640,Base：1354MHZ; Boost:1455MHZ,,7000,2G,GDDR5,128,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75w,"['https://www.colorful.cn/uploads/AttachFile/201805171802280193.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805171802339005.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805171802406709.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805171802457566.JPG']",,,,,,,,
七彩虹 GeForce GTX1050 灵动鲨 2G V5,1537,GeForce® GTX 1050,七彩虹系列,GeForce GTX 1050,14nm,640,Base：1354MHZ;BOOST:1455MHZ,,7000MHZ,2GB,GDDR5,128,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/uploads/AttachFile/201805031547549528.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805031548001008.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805031548118632.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805031548166212.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805031552512441.JPG']",,,,,,,,
七彩虹 GeForce GTX1050 灵动鲨-2GD5 V3,1522,GeForce® GTX 1050,七彩虹系列,GeForce GTX 1050,14nm,640,1354MHz,,7000MHz,2GB,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6Pin,75W,"['https://www.colorful.cn/uploads/AttachFile/201801101414479317.JPG', 'https://www.colorful.cn/uploads/AttachFile/201801101414543589.JPG', 'https://www.colorful.cn/uploads/AttachFile/201801101415002246.JPG', 'https://www.colorful.cn/uploads/AttachFile/201801101415076502.JPG']",, 7680x4320 ,,,Y,,,
战斧 GeForce GTX1050 CS:GO Edition 2G,1516,GeForce ® GTX 1050,战斧系列,GeForce GTX 1050,14nm,640, Base：1430MHz；Boost:1544MHz ,,7000MHz,2GB,GDDR5,128bit, PCI-E X16(3.0) ," Direct X 12.1, OpenGL 4.5 ", DVI+HDMI+DP ,6pin,75W,"['https://www.colorful.cn/uploads/AttachFile/201712131036308969.jpg', 'https://www.colorful.cn/uploads/AttachFile/201712131036368717.JPG', 'https://www.colorful.cn/uploads/AttachFile/201712131036424566.JPG', 'https://www.colorful.cn/uploads/AttachFile/201712131036465126.JPG']",, 7680x4320  ,,,Y,,,
战斧 GeForce GTX1050 2G V2,1515,GeForce® GTX 1050,战斧系列,GeForce  GTX  1050,14nm,640,Base：1430MHz；Boost:1544MHz,,7000MHz,2GB,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6pin,75W,"['https://www.colorful.cn/uploads/photo/2017/12/201712131032113281.JPG', 'https://www.colorful.cn/uploads/photo/2017/12/201712131032163981.JPG', 'https://www.colorful.cn/uploads/photo/2017/12/201712131032234493.JPG', 'https://www.colorful.cn/uploads/AttachFile/201804171631420109.jpg']",, 7680x4320 ,,,Y,,,
iGame GeForce GTX1050 烈焰战神S-2GD5 LE,1514,GeForce® GTX 1050,iGame 系列,GeForce  GTX  1050,14nm,640,Base：1354MHz；Boost:1455MHz,,7000MHz,2G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6,75W,"['https://www.colorful.cn/uploads/photo/2017/12/201712131007157223.jpg', 'https://www.colorful.cn/uploads/photo/2017/12/201712131007207299.jpg', 'https://www.colorful.cn/uploads/photo/2017/12/201712131007257063.jpg', 'https://www.colorful.cn/uploads/photo/2017/12/201712131007290291.jpg']",,7680x4320@60Hz,,,Y,,,
网驰 GeForce GTX1050-2GD5 V2,1505,GeForce® GTX 1050,网驰系列,GeForce  GTX  1050,14nm,640,Base：1354MHz；Boost:1455MHz,,7000MHz,2G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,N,75W,"['https://www.colorful.cn/uploads/AttachFile/201711211410537044.JPG', 'https://www.colorful.cn/uploads/AttachFile/201711211410593204.JPG', 'https://www.colorful.cn/uploads/AttachFile/201711211411030957.JPG']",,7680x4320@60Hz,,,,,,
战斧 GeForce GTX1050-2GD5,1486,GeForce® GTX 1050,战斧系列,GeForce® GTX 1050,14nm,640,"Boost:1493MHz,Base:1379MHz",,7000MHz,2048,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6pin,75W,"['https://www.colorful.cn/uploads/AttachFile/thumb201710191805184982.JPG', 'https://www.colorful.cn/uploads/AttachFile/thumb201710191805190910.JPG', 'https://www.colorful.cn/uploads/AttachFile/thumb201710191805197462.JPG', 'https://www.colorful.cn/uploads/AttachFile/thumb201710191805210722.JPG', 'https://www.colorful.cn/uploads/AttachFile/thumb201710191805302138.JPG']",N,7680x4320,,,Y,,,
Colorful GeForce GTX1050 GAMING 2G V4,1481,GeForce® GTX 1050,Colorful系列,GeForce GTX 1050,14nm,640,"Boost:1354MHz,Base:1455MHz",,7000MHz,2G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/uploads/AttachFile/201710121428521180.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710121428525860.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710121428531320.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710121428536000.JPG']",,7680x4320,,,Y,,,
七彩虹 GeForce GTX1050 灵动鲨-LE 2GD5,1478,GeForce® GTX 1050,七彩虹系列,GeForce GTX 1050,14nm,640,Base:1354MHz,,7000MHz,2G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/uploads/AttachFile/201710101143543443.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710101143546563.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710101143549839.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710101143557171.JPG']",N,7680x4320,,,Y,,,
iGame GeForce GTX1050 烈焰战神U-2GD5 LE,1474,GeForce® GTX 1050,iGame系列,GeForce GTX 1050,14nm,640,"Boost:1354MHz,Base:1455MHz","Boost:1354MHz,Base:1455MHz",7000MHz,2G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6Pin,75W,"['https://www.colorful.cn/uploads/AttachFile/201709221122218975.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709221122223343.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709221122226619.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709221122232547.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709221122237539.JPG']",N,7680x4320,3,,Y,,,
Colorful GeForce GTX1050-2GD5 GAMING V3,438,GeForce® GTX 1050,Colorful系列,GeForce GTX 1050,14nm,640,Base：1366MHZ;Boost:1468MHZ,,7000MHz,2048M,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/Resource/2017/05/201705051649226578.JPG', 'https://www.colorful.cn/Resource/2017/05/201705051649229698.JPG', 'https://www.colorful.cn/Resource/2017/05/201705051649236718.JPG', 'https://www.colorful.cn/Resource/2017/05/201705051649222522.JPG']",,7680x4320@60Hz,,,是,,,
网驰 GeForce GTX1050-2GD5 限量版,439,GeForce® GTX 1050,网驰系列,GeForce GTX 1050,14nm,640,Base：1366MHZ;Boost:1468MHZ,,7000MHz,2G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/Resource/2017/05/201705051714164921.JPG', 'https://www.colorful.cn/Resource/2017/05/201705051714167885.JPG', 'https://www.colorful.cn/Resource/2017/05/201705051714175373.JPG', 'https://www.colorful.cn/Resource/2017/05/201705051714160397.JPG']",,7680x4320@60Hz,,,Y,,,
网驰 GeForce GTX1050-2GD5 Green 限量版,437,GeForce® GTX 1050,网驰系列,GeForce GTX 1050,14nm,640,Base：1366MHZ;Boost:1468MHZ,,7000MHz,2G,GDDR5,128Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/Resource/2017/05/201705051710132554.JPG', 'https://www.colorful.cn/Resource/2017/05/201705051710143786.JPG', 'https://www.colorful.cn/Resource/2017/05/201705051710146750.JPG', 'https://www.colorful.cn/Resource/2017/05/201705051710129902.JPG']",,7680x4320@60Hz,,,Y,,,
iGame GeForce GTX1050 烈焰战神S-2GD5,433,GeForce® GTX 1050,iGame系列,GeForce  GTX  1050,14nm,640,Base：1430MHZ;Boost:1544MHZ,,7000MHz,2G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6pin,75W,"['https://www.colorful.cn/Resource/2016/12/201612291409034474.JPG', 'https://www.colorful.cn/Resource/2016/12/201612291409041182.JPG', 'https://www.colorful.cn/Resource/2016/12/201612291409055846.JPG', 'https://www.colorful.cn/Resource/2016/12/201612291409026518.JPG', 'https://www.colorful.cn/Resource/2017/05/201705171539261164.JPG']",,7680x4320@60Hz,,,是,,,
iGame GeForce GTX1050 烈焰战神U-2GD5,430,GeForce® GTX 1050,iGame系列,GeForce  GTX  1050,14nm,640,Base：1354MHZ;Boost:1455MHZ,Base：1442MHz；Boost：1556MHz,7000MHz,2048M,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6pin,75W,"['https://www.colorful.cn/Resource/2016/11/201611041419458932.JPG', 'https://www.colorful.cn/Resource/2016/11/201611041419465484.JPG', 'https://www.colorful.cn/Resource/2016/11/201611041419481552.JPG', 'https://www.colorful.cn/Resource/2016/11/201611041419450664.JPG']",,7680x4320@60Hz,,,是,,,
七彩虹 GeForce GTX1050 灵动鲨-2GD5,432,GeForce® GTX 1050,七彩虹系列,GeForce GTX  1050,14nm,640,Base：1354MHZ;Boost:1455MHZ,,7000MHz,2G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6pin,75W,"['https://www.colorful.cn/Resource/2016/12/201612211731388010.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211731396278.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211731402050.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211731409538.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211731380678.JPG']",,7680x4320@60Hz,,,是,,,
网驰 GeForce GTX1050-2GD5 Green,434,GeForce® GTX 1050,网驰系列,GeForce GTX 1050,14nm,640,Base：1354MHZ;Boost:1455MHZ,,7000MHz,2G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/Resource/2016/12/201612211751333398.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211751342758.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211751351338.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211751328250.JPG']",,7680x4320@60Hz,,,是,,,
Colorful GeForce GTX1050-2GD5 GAMING V2,435,GeForce® GTX 1050,Colorful系列,GeForce GTX 1050,14nm,640,Base：1354MHZ;Boost:1455MHZ,,7000MHz,2G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/Resource/2016/12/201612211657374006.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211657383522.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211657389606.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211657369170.JPG']",,7680x4320@60Hz,,,是,,,
网驰 GeForce GTX1050-2GD5,436,GeForce® GTX 1050,网驰系列,GeForce GTX 1050,14nm,640,Base：1354MHZ;Boost:1455MHZ,,7000MHz,2G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/Resource/2016/12/201612211758295946.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211758304058.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211758311390.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211758290486.JPG']",,7680x4320@60Hz,,,是,,,
Colorful GeForce GTX1050-2GD5 GAMING,428,GeForce® GTX 1050,Colorful系列,GeForce GTX 1050,14nm,640,Base：1354MHZ;Boost:1455MHZ,,7000MHz,2048M,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/Resource/2016/10/201610271346593352.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271347000060.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271347005832.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271346585552.JPG']",,7680x4320@60Hz,,,是,,,
网驰 GeForce GTX1050-2GD5 电竞版,429,GeForce® GTX 1050,网驰系列,GeForce GTX 1050,14nm,640,Base：1354MHZ;Boost:1455MHZ,,7000MHz,2048M,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/Resource/2016/10/201610271341122798.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271341126854.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271341136370.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271341117494.JPG']",,7680x4320@60Hz,,,是,,,
七彩虹 GeForce GT1030 黄金版 2G V2,1524,GeForce® GT 1030,七彩虹系列,GeForce GT 1030,14nm,384,1228,,6000MHz,2GB,GDDR5,64Bit,PCI-E X4(3.0),"Direct X 12.1, OpenGL 4.5",VGA+HDMI,,30W,"['https://www.colorful.cn/uploads/photo/2018/01/201801111533470046.JPG', 'https://www.colorful.cn/uploads/photo/2018/01/201801111533550230.JPG', 'https://www.colorful.cn/uploads/photo/2018/01/201801111534016842.JPG', 'https://www.colorful.cn/uploads/photo/2018/01/201801111534055062.JPG']",,7680*4320,,,,,,
七彩虹 GeForce GT1030 黄金版 2G V3,1523,GeForce® GT 1030,七彩虹系列,GeForce GT 1030,14nm,384,Base：1227MHZ;BST:1468MHz,,6000MHz,2GB,GDDR5,64Bit,PCI-E X4(3.0),"Direct X 12.1, OpenGL 4.5",VGA+HDMI,,30W,"['https://www.colorful.cn/uploads/AttachFile/201801111517171361.JPG', 'https://www.colorful.cn/uploads/AttachFile/201801111517243589.JPG', 'https://www.colorful.cn/uploads/AttachFile/201801111517315037.JPG', 'https://www.colorful.cn/uploads/AttachFile/201801111517416125.JPG', 'https://www.colorful.cn/uploads/AttachFile/201801111517469477.JPG']",,7680*4320,,,Yes,,,
七彩虹 GeForce GT1030 0DB 2G,1503,GeForce® GT 1030,七彩虹系列,GeForce GT 1030,14nm,384,Base：1227MHz；Boost:1468MHz,,6000MHz,2G,GDDR5,64Bit,PCI-E X4(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI,N,30W,"['https://www.colorful.cn/uploads/AttachFile/201711211334024630.jpg', 'https://www.colorful.cn/uploads/AttachFile/201711211334096078.JPG', 'https://www.colorful.cn/uploads/AttachFile/201711211334195762.JPG', 'https://www.colorful.cn/uploads/AttachFile/201711211334289206.JPG']",,7680*4320,,,,,,
七彩虹 GeForce GT1030 黄金版 2G,1499,GeForce® GT 1030,七彩虹系列,GeForce GT 1030,14nm,384,Base：1227MHz；Boost:1468MHz,,6000MHz,2G,GDDR5,64Bit,PCI-E X4(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI,N,30W,"['https://www.colorful.cn/uploads/photo/2017/11/201711071552319009.JPG', 'https://www.colorful.cn/uploads/photo/2017/11/201711071552450049.JPG', 'https://www.colorful.cn/uploads/photo/2017/11/201711071552508393.JPG', 'https://www.colorful.cn/uploads/AttachFile/201804171731551644.jpg']",N,7680*4320,,,,,,
七彩虹 GeForce GT1030 灵动鲨 2G,444,GeForce® GT 1030,七彩虹系列,GeForce GT 1030,14nm,384,Base：1227MHZ;BST:1468MHz,N/A,6000MHz,2048MB,GDDR5,64Bit,PCI-E X4(3.0),"Direct X 12.1, OpenGL 4.5",DVI-D+HDMI,N,30W,"['https://www.colorful.cn/Resource/2017/05/201705171116049700.JPG', 'https://www.colorful.cn/Resource/2017/05/201705171116052820.JPG', 'https://www.colorful.cn/Resource/2017/05/201705171116055316.JPG', 'https://www.colorful.cn/Resource/2017/05/201705171116080432.JPG']",N,7680*4320,2,N,N,N,N/A,N
Colorful GeForce GT1030 LP 2G,443,GeForce® GTX 1030,Colorful系列,GeForce GT 1030,14nm,384,Base：1227MHZ;BST:1468MHz,N/A,6000MHz,2048MB,GDDR5,64Bit,PCI-E X4(3.0),"Direct X 12.1, OpenGL 4.5",DVI-D+HDMI,N,30W,"['https://www.colorful.cn/Resource/2017/05/201705181024444510.JPG', 'https://www.colorful.cn/Resource/2017/05/201705181024449191.JPG', 'https://www.colorful.cn/Resource/2017/05/201705181024464635.JPG', 'https://www.colorful.cn/Resource/2017/05/201705181024471499.JPG', 'https://www.colorful.cn/Resource/2017/05/201705181024450751.JPG']",N,7680*4320,,,,,N,
七彩虹GTX Titan X CH-12GD5,306,GeForce® GTX Titan x,七彩虹系列,GTX TITAN X,28NM,3072,,1076MHz,7.0 Gbps,12GB,GDDR5,384 bit,PCI-E X16(3.0),"Direct X 12, OpenGL 4.5",3个DisPlayport+1个HDMI+1个DVI,8+6pin,250W,"['https://www.colorful.cn/Resource/2015/03/201503201659471612.JPG', 'https://www.colorful.cn/Resource/2015/03/201503201659479568.JPG', 'https://www.colorful.cn/Resource/2015/03/201503201659485185.JPG', 'https://www.colorful.cn/Resource/2015/03/201503201659465216.JPG']",是,,4,是,是,,,
七彩虹GTX Titan Z CH-12GD5,200,GeForce® GTX titan,七彩虹系列,TITAN BLACK,28纳米,,,,5760MHz,12G,GDDR5,768B,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,双DVI+HDMI+DP,,,"['https://www.colorful.cn/Resource/2014/05/201405202034025875.JPG', 'https://www.colorful.cn/Resource/2014/05/201405202034050836.JPG', 'https://www.colorful.cn/Resource/2014/05/201405202034061444.JPG', 'https://www.colorful.cn/Resource/2014/05/201405202034002787.JPG']",,DVI 最高输出：2560X1600,,,,,,
七彩虹GTX Titan Black CH-6GD5,201,GeForce® GTX titan,七彩虹系列,TITAN BLACK,28纳米,,,,7000MHz,6144M,GDDR5,384BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,双DVI+HDMI+DP,,,"['https://www.colorful.cn/Resource/2014/05/201405202026135081.JPG', 'https://www.colorful.cn/Resource/2014/05/201405202026152397.JPG', 'https://www.colorful.cn/Resource/2014/05/201405202026172054.JPG', 'https://www.colorful.cn/Resource/2014/05/201405202026114645.JPG']",,DVI 最高输出：2560X1600,,,,,,
七彩虹GTX TITAN-6GD5 CH,64,GeForce® GTX titan,七彩虹系列,NVIDIA GeForce GTX TITAN GPU,28nm,,,,6008MHz,6144M,GDDR5,384bit,PCI-E X16(3.0),DirectX 11.1 / OpenGL 4.3,DVI+DVI+HDMI+DP,,,"['https://www.colorful.cn/Resource/2013/02/201302221035082019.JPG', 'https://www.colorful.cn/Resource/2013/02/201302221035180255.JPG', 'https://www.colorful.cn/Resource/2013/02/201302221035212487.JPG', 'https://www.colorful.cn/Resource/2013/02/201302221035130332.JPG']",,,,,,,,
iGame980Ti 烈焰战神X-6GD5 Top WA1,313,GeForce® GTX 980Ti,iGame系列,GeForce GTX 980 Ti,28nm,2816,,,7012MHz,6144M,GDDR5,384 bit,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.5,DVI+HDMI+3DP,8+8pin,250W,"['https://www.colorful.cn/Resource/2016/03/201603041548299786.JPG', 'https://www.colorful.cn/Resource/2016/03/201603041548314762.JPG', 'https://www.colorful.cn/Resource/2016/03/201603041548335198.JPG', 'https://www.colorful.cn/Resource/2016/03/201603041548349238.JPG', 'https://www.colorful.cn/Resource/2016/03/201603041548357350.JPG', 'https://www.colorful.cn/Resource/2016/03/201603041548370454.JPG', 'https://www.colorful.cn/Resource/2016/03/201603041548306494.JPG']",是,5120x3200,4,否,,,2048x1536,是
iGame980Ti-6GD5 WA1,314,GeForce® GTX 980Ti,iGame系列,GeForce GTX 980 Ti,28nm,2816,,,7012MHz,6144M,GDDR5,384 bit,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.5,HDMI+3DP,8+8pin,250W,"['https://www.colorful.cn/Resource/2016/03/201603171753502632.JPG', 'https://www.colorful.cn/Resource/2016/03/201603171753512772.JPG', 'https://www.colorful.cn/Resource/2016/03/201603171753517608.JPG', 'https://www.colorful.cn/Resource/2016/03/201603171753534612.JPG', 'https://www.colorful.cn/Resource/2016/03/201603171753540852.JPG', 'https://www.colorful.cn/Resource/2016/03/201603171753550056.JPG', 'https://www.colorful.cn/Resource/2016/03/201603171753480792.JPG']",是,5120x3200 频率为 60Hz，并带有两个 DisplayPort 连接器,4,否,,,2048x1536,是
iGame980Ti 九段,311,GeForce® GTX 980ti,iGame系列,GeForce GTX 980 Ti,28nm,2816,,,7012/7012MHZ,6GB,GDDR5,384 bit,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.5,DVI+HDMI+3DP,8+8pin,300W,"['https://www.colorful.cn/Resource/2015/11/201511261945082600.JPG', 'https://www.colorful.cn/Resource/2015/11/201511261945084790.JPG', 'https://www.colorful.cn/Resource/2015/11/201511261945088680.JPG', 'https://www.colorful.cn/Resource/2015/11/201511261945103430.JPG', 'https://www.colorful.cn/Resource/2015/11/201511261945063470.JPG']",Yes,5120x3200（分辨率为 5120x3200，频率为 60Hz，并带有两个 DisplayPort 连接器）,4,呼吸灯+负载指示灯+水冷指示灯,Yes,否,2048x1536,支持
iGame980Ti 冰封骑士Liquid-6GD5,312,GeForce® GTX 980Ti,iGame系列,GeForce GTX 980 Ti,28nm,2816,,"Boost:1291MHz,Base:1190MHz",7012MHz,6GB,GDDR5,384 bit,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.5,HDMI+3*DP,8+8pin,280W,"['https://www.colorful.cn/Resource/2016/01/201601121805193414.JPG', 'https://www.colorful.cn/Resource/2016/01/201601121805203866.JPG', 'https://www.colorful.cn/Resource/2016/01/201601121805210886.JPG', 'https://www.colorful.cn/Resource/2016/01/201601121805223054.JPG', 'https://www.colorful.cn/Resource/2016/01/201601121805251758.JPG', 'https://www.colorful.cn/Resource/2016/01/201601121805265642.JPG', 'https://www.colorful.cn/Resource/2016/01/201601121805276718.JPG', 'https://www.colorful.cn/Resource/2016/01/201601121805287014.JPG', 'https://www.colorful.cn/Resource/2016/01/201601121805239278.JPG']",是,5120x3200（ 分辨率为 5120x3200，频率为 60Hz，并带有两个 DisplayPort 连接器）,4,,,,2048x1536,是
iGame980Ti-6GD5 V2,310,GeForce® GTX 980Ti,iGame系列,GeForce GTX 980 Ti,28nm,2816,,,7012MHz,6GB,GDDR5,384 bit,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.5,DVI+HDMI+3*DP,8+8pin,270W,"['https://www.colorful.cn/Resource/2015/10/201510281107094870.JPG', 'https://www.colorful.cn/Resource/2015/10/201510281107097990.JPG', 'https://www.colorful.cn/Resource/2015/10/201510281107104075.JPG', 'https://www.colorful.cn/Resource/2015/10/201510281107082234.JPG']",是,5120x3200（分辨率为 5120x3200，频率为 60Hz，并带有两个 DisplayPort 连接器）,4,,是,,2048x1536,是
iGame980Ti 烈焰战神X-6GD5 Top,307,GeForce® GTX 980Ti,iGame系列,GeForce GTX 980 Ti,28nm,2816,,"Boost:1216MHz,Base:1127MHz",7012MHz,6GB,GDDR5,384 bit,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.5,DVI+HDMI+3*DP,8+8pin,280W,"['https://www.colorful.cn/Resource/2015/06/201506231647101764.JPG', 'https://www.colorful.cn/Resource/2015/06/201506231647113308.JPG', 'https://www.colorful.cn/Resource/2015/06/201506231647118925.JPG', 'https://www.colorful.cn/Resource/2015/06/201506231647091000.JPG']",是,5120x3200（分辨率为 5120x3200，频率为 60Hz，并带有两个 DisplayPort 连接器）,4,负载指示灯,是,是,2048x1536,是
iGame980Ti-6GD5,309,GeForce® GTX 980ti,iGame系列,GeForce GTX 980 Ti,28nm,2816,,,7012MHz,6GB,GDDR5,384 bit,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.5,DVI+HDMI+3*DP,8+8pin,270W,"['https://www.colorful.cn/Resource/2015/06/201506021105476538.JPG', 'https://www.colorful.cn/Resource/2015/06/201506021105508206.JPG', 'https://www.colorful.cn/Resource/2015/06/201506021105515382.JPG', 'https://www.colorful.cn/Resource/2015/06/201506021105523650.JPG', 'https://www.colorful.cn/Resource/2015/06/201506021105502434.JPG']",是,5120x3200（分辨率为 5120x3200，频率为 60Hz，并带有两个 DisplayPort 连接器）,4,,是,,2048x1536,是
七彩虹GTX980Ti CH-6GD5,308,GeForce® GTX 980ti,七彩虹系列,GeForce GTX 980 Ti,28nm,2816,,1076MHz,7012MHz,6GB,GDDR5,384-bit,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.5,DVI+HDMI+3*DP,8+6pin,250W,"['https://www.colorful.cn/Resource/2015/06/201506011157401083.JPG', 'https://www.colorful.cn/Resource/2015/06/201506011157407323.JPG', 'https://www.colorful.cn/Resource/2015/06/201506011157413095.JPG', 'https://www.colorful.cn/Resource/2015/06/201506011157391099.JPG']",是,5120x3200（分辨率为 5120x3200，频率为 60Hz，并带有两个 DisplayPort 连接器）,4,是,是,,2048x1536,是
